GeneID	WT1	WT2	ddm1	ddm2
AT5G10480	56.568043	76.952690	63.683174	72.912949
AT5G10490	17.257215	18.438145	15.227924	15.775318
AT5G10500	0.0	0.0	0.0	0.0
AT5G10504	0.0	0.0	0.0	0.0
AT5G10510	2.654185	3.582462	4.698583	3.680534
AT5G10520	1.896080	1.875530	3.180194	3.184335
AT5G10525	0.0	0.0	0.0	0.0
AT5G10530	1.754324	0.994182	1.550887	1.312009
AT5G10540	41.299885	33.380081	36.189445	33.872330
AT5G10550	52.895317	50.260712	58.741314	56.148205
AT5G10560	10.797370	14.019102	11.361117	12.427300
AT5G10570	1.494144	0.698895	0.313431	0.549727
AT5G10572	3.229740	3.682224	2.266549	5.336497
AT5G10580	6.259452	14.211139	7.951634	14.324922
AT5G10590	0.000000	0.000000	0.000000	0.000000
AT5G10600	3.662102	2.279853	2.287108	1.586896
AT5G10605	1.162353	0.644455	0.748897	0.305325
AT5G10610	10.049830	7.513877	7.499555	6.699466
AT5G10620	5.490876	4.843354	6.326507	6.932294
AT5G10625	10.033969	10.737705	8.813425	8.659274
AT5G10630	5.454314	6.587832	5.752853	5.789449
AT5G10650	8.967999	10.698541	5.890469	6.369532
AT5G10660	0.259285	0.127463	0.000000	0.0
AT5G10670	0.150537	0.000000	0.000000	0.0
AT5G10680	0.779341	0.112741	0.574952	0.833072
AT5G10690	25.599443	20.659349	20.684395	17.701492
AT5G10695	13.680232	22.306688	23.130978	28.562254
AT5G10700	7.912513	9.081029	8.247975	7.840066
AT5G10710	10.333400	9.054447	7.373394	7.811461
AT5G10720	0.720181	2.023037	2.033696	1.767214
AT5G10730	12.013889	15.933109	14.998236	14.259277
AT5G10740	10.449233	15.100579	16.220772	17.621590
AT5G10745	25.302629	21.549223	24.078232	22.969435
AT5G10750	16.133318	16.620550	23.202265	20.659203
AT5G10760	0.053181	0.139043	0.237471	0.537778
AT5G10770	17.030540	24.673466	38.502110	26.178856
AT5G10780	36.750744	42.840580	42.018944	43.900928
AT5G10790	4.196413	5.226671	5.255098	5.227206
AT5G10800	2.091620	1.755114	1.164511	0.997013
AT5G10810	27.646748	30.999834	28.403980	33.521912
AT5G10820	5.735515	6.443155	7.159818	7.289038
AT5G10830	10.430904	17.889034	27.332216	20.046684
AT5G10840	19.620443	26.892061	27.212694	28.075069
AT5G10850	1.960883	1.770754	3.262501	3.752755
AT5G10860	91.641747	112.674316	91.707382	109.615456
AT5G10870	6.256043	7.310151	7.795436	7.656188
AT5G10880	0.349292	0.135128	0.120483	0.208368
AT5G10890	0.333467	0.436595	0.781652	1.127609
AT5G10900	1.050499	1.455876	1.378432	1.151394
AT5G10910	14.812931	14.665325	14.786635	13.992646
AT5G10920	22.795584	21.813955	21.184626	22.183300
AT5G10930	9.771008	9.686910	5.282178	6.576617
AT5G10940	14.731699	15.705725	12.564614	13.271445
AT5G10945	1.250157	3.464349	0.884851	0.270558
AT5G10946	15.559155	11.022401	3.117929	2.858648
AT5G10950	11.304255	10.114421	7.657609	8.962866
AT5G10960	150.555527	148.931854	138.636749	138.307938
AT5G10970	3.452488	3.783855	3.328021	4.728091
AT5G10980	215.140076	216.681076	208.764267	201.415283
AT5G10990	0.717266	2.634291	2.538274	1.927945
AT5G11000	29.012709	30.563974	41.534576	35.560513
AT5G11010	9.061220	9.228131	6.141955	7.614192
AT5G11020	3.060847	3.784471	2.913634	3.323869
AT5G11027	0.0	0.0	0.0	0.0
AT5G11030	7.116331	6.994352	6.737502	6.852540
AT5G11040	7.497942	10.097586	8.933291	7.217887
AT5G11050	0.0	0.0	0.027554	0.0
AT5G11060	14.612788	12.879279	8.560853	7.504589
AT5G11070	89.769089	74.146919	44.254131	47.189728
AT5G11080	0.017096	0.037471	0.0	0.000000
AT5G11090	36.420742	37.267040	33.787766	33.863419
AT5G11100	4.255197	3.884472	4.995257	4.271028
AT5G11110	3.863165	6.423790	9.997809	8.596175
AT5G11130	0.0	0.0	0.0	0.0
AT5G11140	0.205770	0.225482	0.198844	0.065407
AT5G11150	3.242450	4.895556	5.320010	4.339673
AT5G11160	10.857171	10.453850	8.146307	12.067305
AT5G11170	108.919052	98.571358	88.431931	87.976707
AT5G11180	0.000000	0.000000	0.000000	0.017452
AT5G11190	0.363538	0.511682	0.878818	1.606186
AT5G11200	44.910629	48.439346	49.099617	45.903564
AT5G11210	0.692741	1.206305	1.205007	1.909127
AT5G11220	0.0	0.0	0.0	0.0
AT5G11225	0.0	0.0	0.0	0.0
AT5G11230	3.399294	7.616210	5.380387	6.407432
AT5G11240	6.973966	6.303946	6.836094	6.961315
AT5G11242	1.934146	1.212734	1.116928	0.976527
AT5G11250	1.452867	1.752897	1.508872	1.839176
AT5G11260	15.782684	19.163820	15.333634	20.567518
AT5G11270	21.273849	20.189266	19.127428	22.772440
AT5G11280	23.827559	31.492514	27.566643	29.028879
AT5G11290	0.283690	0.277745	0.256582	0.197320
AT5G11300	0.371051	0.565058	0.914506	0.777626
AT5G11310	1.950729	2.170678	0.239100	0.471850
AT5G11320	0.308588	0.202027	0.262866	0.217383
AT5G11325	0.0	0.0	0.0	0.0
AT5G11330	32.053860	30.425196	25.083956	27.453152
AT5G11340	34.977501	28.905392	32.002674	30.711634
AT5G11350	9.049269	7.950439	8.715108	6.066057
AT5G11360	0.104097	0.171237	0.702298	1.092521
AT5G11370	0.0	0.0	0.0	0.000000
AT5G11380	7.419570	8.622254	7.048600	6.312400
AT5G11390	5.213230	6.359406	5.056119	5.947228
AT5G11400	0.0	0.0	0.0	0.046120
AT5G11410	0.675257	0.393489	1.035348	1.778094
