GeneID	WT1	WT2	ddm1	ddm2
AT1G04270	467.85	439.791	566.857	461.061
AT1G04280	7.55815	9.43872	6.51805	8.39814
AT1G04290	9.43887	12.6994	8.85012	11.1558
AT1G04295	21.5768	26.5456	21.5375	24.3934
AT1G04300	8.28424	9.99833	7.68844	8.15228
AT1G04310	1.63863	1.62086	1.65897	1.61011
AT1G04320	73.8361	116.646	61.4632	37.2831
AT1G04330	1.06708	2.19151	0.414525	1.00579
AT1G04340	39.0954	50.0792	40.4191	46.6605
AT1G04350	29.887	34.8262	36.5217	34.4554
AT1G04360	4.44449	4.42088	2.10107	2.52128
AT1G04370	0	0.131703	0	0
AT1G04380	0.0309888	0.0734343	0.25796	0.0938857
AT1G04390	1.07069	0.91301	0.962166	0.970688
AT1G04400	28.8332	29.8178	29.9678	31.4327
AT1G04410	571.66	573.295	562.91	529.245
AT1G04420	17.8621	22.4562	30.2737	23.3745
AT1G04425	0.130927	0.206839	0	0.132222
AT1G04430	74.2004	83.8662	79.9352	85.9963
AT1G04440	15.1218	14.8614	14.593	14.9872
AT1G04445	0	0	0	0
AT1G04450	0	0.0375898	0	0
AT1G04457	0	0.549003	1.15712	0
AT1G04470	0.10784	0.0766648	0.188516	0.0762346
AT1G04480	110.266	149.034	136.84	141.939
AT1G04490	1.17774	1.4063	1.4006	1.24475
AT1G04500	0.0236732	0.0186995	0.0394125	0.0478146
AT1G04501	0	0	0	0
AT1G04510	26.1575	28.1536	28.5102	27.1383
AT1G04520	6.63491	5.98657	9.83378	6.29194
AT1G04530	44.529	55.5878	53.0327	61.8107
AT1G04540	0.313057	0.0989134	0.208478	0.147538
AT1G04550	14.1168	14.7998	12.8806	12.2664
AT1G04555	7.21782	8.28311	5.4415	4.81362
AT1G04560	36.1665	59.847	15.3089	12.8817
AT1G04570	0.3284	0.061036	0.128644	0.0585259
AT1G04580	0	0	0	0
AT1G04590	7.91306	8.82019	8.56317	8.16889
AT1G04600	0.00670962	0.0423995	0.0502675	0.00677597
AT1G04610	1.57018	1.68817	1.2163	1.3875
AT1G04620	6.30459	6.80286	12.7539	9.63449
AT1G04625	0	0	0	0
AT1G04630	38.4933	42.5196	33.8373	43.0412
AT1G04635	1.74148	1.3756	2.26147	1.47731
AT1G04640	16.8716	15.7257	19.8628	16.6976
AT1G04645	0.114383	0	0.095216	0
